1,South,Africa,*
2,Cambodia,Asia,*
3,China,Asia,*
4,Hong,Asia,*
5,India,Asia,*
6,Iran,Asia,*
7,Japan,Asia,*
8,Laos,Asia,*
9,Philippines,Asia,*
10,Taiwan,Asia,*
11,Thailand,Asia,*
12,Vietnam,Asia,*
13,England,Europe,*
14,France,Europe,*
15,Germany,Europe,*
16,Greece,Europe,*
17,Holand-Netherlands,Europe,*
18,Hungary,Europe,*
19,Ireland,Europe,*
20,Italy,Europe,*
21,Poland,Europe,*
22,Portugal,Europe,*
23,Scotland,Europe,*
24,Yugoslavia,Europe,*
25,Canada,North America,*
26,Cuba,North America,*
27,Dominican-Republic,North America,*
28,El-Salvador,North America,*
29,Guatemala,North America,*
30,Haiti,North America,*
31,Honduras,North America,*
32,Jamaica,North America,*
33,Mexico,North America,*
34,Outlying-US(Guam-USVI-etc),North America,*
35,Puerto-Rico,North America,*
36,United-States,North America,*
37,Columbia,South America,*
38,Ecuador,South America,*
39,Nicaragua,South America,*
40,Peru,South America,*
41,Trinadad&Tobago,South America,*
